档位,院校代号,院校名称,专业组类型,2025专业组名称,2025投档线,2025投档位次,位次比值,2026有美术计划,2026计划人数,2026美术组数,2025备注要求
垫底(过保),4241,黄冈师范学院,普通,第105组(美术与设计类),284.6,7105,3.01,是,20,1,
垫底(过保),3641,萍乡学院,普通,第103组(美术与设计类),284.3,7199,3.05,是,2,1,
垫底(过保),4342,湖南女子学院,普通,第108组(美术与设计类),284.3,7199,3.05,是,139,2,
垫底(过保),3520,三明学院,普通,第102组(美术与设计类),284.1,7257,3.07,是,12,1,
垫底(过保),5243,贵州商学院,普通,第101组(美术与设计类),284.0,7296,3.09,否,,,
垫底(过保),5315,玉溪师范学院,普通,第104组(美术与设计类),284.0,7296,3.09,是,2,1,
垫底(过保),4671,琼台师范学院,普通,第106组(美术与设计类),284.0,7296,3.09,是,12,1,
垫底(过保),1416,太原师范学院,普通,第104组(美术与设计类),283.9,7327,3.1,是,10,1,
垫底(过保),1373,河北环境工程学院,普通,第101组(美术与设计类),283.8,7354,3.11,否,,,
垫底(过保),5254,六盘水师范学院,普通,第103组(美术与设计类),283.8,7354,3.11,是,2,1,
垫底(过保),4720,长沙工业学院,普通,第101组(美术与设计类),283.7,7387,3.12,是,200,1,
垫底(过保),4118,商丘师范学院,普通,第105组(美术与设计类),283.7,7387,3.12,是,4,1,
垫底(过保),1413,太原工业学院,普通,第101组(美术与设计类),283.6,7407,3.13,是,12,1,
垫底(过保),4137,洛阳理工学院,普通,第103组(美术与设计类),283.5,7437,3.15,是,25,1,
垫底(过保),5129,绵阳师范学院,普通,第105组(美术与设计类),283.5,7437,3.15,是,11,1,
垫底(过保),4119,南阳师范学院,普通,第101组(美术与设计类),283.4,7468,3.16,是,8,1,
垫底(过保),3526,龙岩学院,普通,第102组(美术与设计类),283.4,7468,3.16,是,2,1,
垫底(过保),5240,铜仁学院,普通,第111组(美术与设计类),283.4,7468,3.16,是,2,1,
垫底(过保),4173,河南财政金融学院,普通,第101组(美术与设计类),283.3,7489,3.17,是,6,1,
垫底(过保),1316,河北科技师范学院,普通,第102组(美术与设计类),283.2,7518,3.18,是,6,1,
垫底(过保),4531,桂林旅游学院,普通,第104组(美术与设计类),283.2,7518,3.18,是,4,1,
