年份,综合成绩,本段人数,累计人数
2025,256.5,2,12552
2025,256.4,4,12556
2025,256.2,2,12558
2025,256.1,7,12565
2025,256.0,4,12569
2025,255.9,1,12570
2025,255.8,7,12577
2025,255.7,2,12579
2025,255.6,3,12582
2025,255.5,3,12585
2025,255.4,4,12589
2025,255.3,1,12590
2025,255.2,3,12593
2025,255.1,3,12596
2025,254.9,6,12602
2025,254.8,3,12605
2025,254.7,2,12607
2025,254.6,7,12614
2025,254.3,6,12620
2025,254.2,3,12623
2025,254.1,2,12625
2025,254.0,3,12628
2025,253.9,3,12631
2025,253.8,1,12632
2025,253.6,2,12634
2025,253.5,2,12636
2025,253.3,4,12640
2025,253.2,3,12643
2025,252.9,3,12646
2025,252.7,1,12647
2025,252.6,3,12650
2025,252.5,1,12651
2025,252.3,2,12653
2025,252.2,2,12655
2025,252.1,1,12656
2025,252.0,1,12657
2025,251.8,1,12658
2025,251.7,4,12662
2025,251.5,1,12663
2025,251.4,2,12665
2025,251.3,1,12666
2025,251.1,1,12667
2025,250.8,1,12668
2025,250.1,1,12669
2026,379.8,1,1
2026,369.5,1,2
2026,365.6,2,4
2026,362.3,1,5
2026,362.1,1,6
2026,362.0,1,7
2026,361.0,1,8
2026,360.4,1,9
2026,359.6,1,10
2026,358.7,1,11
2026,357.2,1,12
2026,357.1,1,13
2026,356.9,2,15
2026,356.7,1,16
2026,356.2,1,17
2026,356.0,1,18
2026,355.7,1,19
2026,355.3,1,20
2026,354.8,1,21
2026,354.7,1,22
2026,354.1,1,23
2026,353.9,1,24
2026,353.8,1,25
2026,353.6,1,26
2026,353.5,1,27
2026,353.1,1,28
2026,352.9,1,29
2026,352.7,1,30
2026,352.6,1,31
2026,352.4,3,34
2026,352.2,1,35
2026,351.8,1,36
2026,351.7,1,37
2026,351.1,1,38
2026,351.0,2,40
2026,350.9,1,41
2026,350.8,1,42
2026,350.7,1,43
2026,350.6,2,45
2026,350.5,1,46
2026,350.1,1,47
2026,349.7,1,48
2026,349.3,1,49
2026,349.1,1,50
2026,349.0,1,51
2026,348.8,4,55
2026,348.7,1,56
2026,348.5,2,58
2026,348.4,1,59
2026,348.3,1,60
2026,347.9,3,63
2026,347.8,3,66
2026,347.7,1,67
2026,347.6,1,68
2026,347.3,1,69
2026,346.9,1,70
2026,346.8,2,72
2026,346.7,1,73
2026,346.6,2,75
2026,346.1,1,76
2026,345.9,2,78
2026,345.7,3,81
2026,345.6,1,82
2026,345.5,2,84
2026,345.3,2,86
2026,345.2,1,87
2026,345.1,1,88
2026,345.0,1,89
2026,344.9,2,91
2026,344.5,2,93
2026,344.4,1,94
2026,344.3,1,95
2026,344.2,2,97
2026,344.0,3,100
2026,343.9,4,104
2026,343.7,2,106
2026,343.5,2,108
2026,343.4,1,109
2026,343.2,1,110
2026,343.1,2,112
2026,343.0,3,115
2026,342.9,1,116
2026,342.8,1,117
2026,342.6,2,119
2026,342.4,2,121
